X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8474770.43014118,5317957.00118334,2024/03/13 00:00:00+00,1524,1524,700 COMSTOCK AV   ,,From Building,LARCENY,43.039309055,-76.130158068,6737
-8474770.43014118,5317957.00118334,2024/08/24 00:00:00+00,648,648,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6738
-8474770.43014118,5317957.00118334,2024/05/04 00:00:00+00,2200,1727,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6739
-8474770.43014118,5317957.00118334,2024/11/07 00:00:00+00,1511,1511,700 COMSTOCK AV   ,,All Other,LARCENY,43.039309055,-76.130158068,6740
-8474770.43014118,5317957.00118334,2024/09/28 00:00:00+00,804,805,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6741
-8474770.43014118,5317957.00118334,2024/11/16 00:00:00+00,2000,1330,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6742
-8474770.43014118,5317957.00118334,2024/11/07 00:00:00+00,1233,1233,700 COMSTOCK AV   ,,All Other,LARCENY,43.039309055,-76.130158068,6743
-8474770.43014118,5317957.00118334,2024/10/31 00:00:00+00,2100,430,700 COMSTOCK AV   ,,Of Bicycle,MV THEFT,43.039309055,-76.130158068,6744
-8474770.43014118,5317957.00118334,2024/03/28 00:00:00+00,2000,1800,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6745
-8474770.43014118,5317957.00118334,2024/05/13 00:00:00+00,1925,1925,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6746
-8474770.43014118,5317957.00118334,2024/03/01 00:00:00+00,400,700,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6747
-8474770.43014118,5317957.00118334,2024/04/12 00:00:00+00,418,430,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6748
-8474770.43014118,5317957.00118334,2024/04/04 00:00:00+00,500,600,700 COMSTOCK AV   ,,From Motor Vehicle,LARCENY,43.039309055,-76.130158068,6749
-8479637.21441758,5316222.58424232,2024/01/13 00:00:00+00,1937,2030,700 CROSSETT ST     ,,Motor Vehicle,MV THEFT,43.027920411,-76.1738771349999,6750
-8475544.66565993,5315971.73468532,2024/10/30 00:00:00+00,445,450,700 E  COLVIN ST     ,,From Motor Vehicle,LARCENY,43.0262730910001,-76.137113144,6751
-8475544.66565993,5315971.73468532,2024/01/23 00:00:00+00,2104,2104,700 E COLVIN ST     ,Yes,,BURGLARY,43.0262730910001,-76.137113144,6752
-8476099.38815972,5318467.06106443,2024/01/27 00:00:00+00,354,354,700 E ADAMS ST     ,Yes,All Other,LARCENY,43.042657842,-76.142096301,6753
-8476758.88300576,5321801.56907551,2024/10/31 00:00:00+00,0,600,700 E DIVISION ST     ,,Of Bicycle,MV THEFT,43.0645459780001,-76.148020644,6754
-8476098.39897472,5319358.1391342,2024/01/30 00:00:00+00,618,622,700 E FAYETTE ST   ,,From Motor Vehicle,LARCENY,43.048507757,-76.1420874149999,6755
-8476098.39897472,5319358.1391342,2024/12/17 00:00:00+00,0,954,700 E FAYETTE ST     ,,From Motor Vehicle,LARCENY,43.048507757,-76.1420874149999,6756
-8476453.79168109,5320965.09431449,2024/04/23 00:00:00+00,1111,1111,700 E LAUREL ST     ,,All Other,LARCENY,43.059055985,-76.145279962,6757
-8476098.39897472,5319358.1391342,2024/02/15 00:00:00+00,1800,2130,700 E FAYETTE ST   ,,Motor Vehicle,MV THEFT,43.048507757,-76.1420874149999,6758
-8476453.79168109,5320965.09431449,2024/02/28 00:00:00+00,1730,1034,700 E LAUREL ST     ,,From Building,BURGLARY,43.059055985,-76.145279962,6759
-8476453.79168109,5320965.09431449,2024/06/10 00:00:00+00,1730,445,700 E LAUREL ST   ,,From Building,BURGLARY,43.059055985,-76.145279962,6760
