X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType,monthly_crime_count
-8473143.2031243,5318311.86911584,2023-06-06 00:00:00+00:00,0500,1045,200 FELLOWS AV   ,NO,Motor Vehicle,BURGLARY,43.041638952,-76.115540439,3388,2023-06,3.5,1,349
-8476543.47967975,5312797.23676768,2023-07-26 00:00:00+00:00,1235,1235,200 FERNDALE DR     ,NO,All Other,LARCENY,43.0054224580001,-76.1460856429999,3389,2023-07,3.5,2,558
-8479122.98293542,5317502.05369699,2023-05-11 00:00:00+00:00,1700,1800,200 FITCH ST     ,YES,From Building,BURGLARY,43.036321953,-76.169257715,3390,2023-05,3.2,1,366
-8479122.98293542,5317502.05369699,2023-10-23 00:00:00+00:00,1520,1520,200 FITCH ST     ,NO,All Other,LARCENY,43.036321953,-76.169257715,3391,2023-10,3.7,2,558
-8477038.2232379,5312437.92618178,2023-03-30 00:00:00+00:00,1330,1330,300 MILBURN DR     ,NO,All Other,LARCENY,43.0030620000001,-76.1505299999999,3393,2023-03,3.6,2,310
-8476590.30722543,5315821.18752545,2023-08-15 00:00:00+00:00,2300,400,200 W COLVIN ST     ,NO,From Motor Vehicle,LARCENY,43.025284432,-76.146506302,3394,2023-08,3.8,2,608
-8473662.40401985,5322618.16088509,2023-08-12 00:00:00+00:00,1845,730,300 MILDRED AV   ,NO,Motor Vehicle,MV THEFT,43.0699050000001,-76.1202044999999,3395,2023-08,3.8,3,608
-8476060.30177143,5315374.09079753,2023-01-23 00:00:00+00:00,2219,2219,2400 S  STATE ST     ,NO,All Other,LARCENY,43.0223482070001,-76.141745182,3396,2023-01,4.1,2,303
-8477088.31700875,5319361.52742244,2023-04-02 00:00:00+00:00,0820,820,300 S WARREN ST     ,YES,All Other,LARCENY,43.04853,-76.1509799999999,3397,2023-04,2.9,2,331
-8475107.10848268,5318278.51983894,2023-05-10 00:00:00+00:00,0157,157,300 WALNUT PL     ,NO,From Building,LARCENY,43.0414200000001,-76.133182501,3398,2023-05,3.2,2,366
-8477749.92091387,5321030.74048392,2023-10-08 00:00:00+00:00,1108,1108,200 W DIVISION ST     ,NO,Motor Vehicle,MV THEFT,43.059486855,-76.156923289,3399,2023-10,3.7,3,558
-8474828.08606769,5318377.21912917,2023-09-09 00:00:00+00:00,1000,850,400 COMSTOCK AV   ,NO,All Other,LARCENY,43.042068,-76.1306759999999,3400,2023-09,3.6,2,574
-8475316.78230582,5321621.06115773,2023-07-02 00:00:00+00:00,0800,953,200 PARK ST     ,NO,All Other,LARCENY,43.063361301,-76.135066033,3401,2023-07,3.5,2,558
-8477038.2232379,5312437.92618178,2023-03-27 00:00:00+00:00,1515,1950,300 MILBURN DR     ,NO,All Other,LARCENY,43.0030620000001,-76.1505299999999,3402,2023-03,3.6,2,310
-8473635.1792799,5321415.45882882,2023-04-21 00:00:00+00:00,1730,1730,200 MARIPOSA ST     ,NO,Motor Vehicle,MV THEFT,43.0620119010001,-76.119959936,3403,2023-04,2.9,3,331
